Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-31 10:01:21,2021-03-31 10:06:46,5m - 24.800s,FAILED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-31 10:01:22,2021-03-31 10:02:26,1m - 4.298s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 10:01:22,2021-03-31 10:01:22,0.006s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 10:01:22,2021-03-31 10:01:28,6.092s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 10:01:28,2021-03-31 10:01:28,0.129s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 10:01:28,2021-03-31 10:01:31,2.362s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 10:01:31,2021-03-31 10:01:32,1.429s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 10:01:32,2021-03-31 10:01:33,1.075s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 10:01:33,2021-03-31 10:01:37,3.728s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-31 10:01:37,2021-03-31 10:01:37,0.255s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 10:01:37,2021-03-31 10:01:38,0.311s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-31 10:01:38,2021-03-31 10:01:39,1.010s,PASSED
"commonActions.VideoPlayer.nextVideoByClicking(findTestObject(""VideoDetailPageUI/video_frame""))",Chrome 89.0.4389.90,,,2021-03-31 10:01:39,2021-03-31 10:02:26,47.028s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 10:02:26,2021-03-31 10:02:26,0.678s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-31 10:02:26,2021-03-31 10:02:26,0.004s,PASSED
,,,,,,,
