Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-31 11:18:47,2021-03-31 11:24:09,5m - 21.849s,ERROR
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-31 11:18:48,2021-03-31 11:19:49,1m - 1.045s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 11:18:48,2021-03-31 11:18:48,0.008s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 11:18:48,2021-03-31 11:18:52,3.631s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 11:18:52,2021-03-31 11:18:52,0.126s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 11:18:52,2021-03-31 11:18:54,2.153s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:18:54,2021-03-31 11:18:56,1.430s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 11:18:56,2021-03-31 11:18:56,0.800s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 11:18:56,2021-03-31 11:19:01,4.040s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-31 11:19:01,2021-03-31 11:19:01,0.249s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:19:01,2021-03-31 11:19:01,0.292s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-31 11:19:01,2021-03-31 11:19:02,0.965s,PASSED
