Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-31 09:53:29,2021-03-31 09:58:51,5m - 21.745s,FAILED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-31 09:53:30,2021-03-31 09:54:27,57.094s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-31 09:53:30,2021-03-31 09:53:30,0.007s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-31 09:53:30,2021-03-31 09:53:33,3.212s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-31 09:53:33,2021-03-31 09:53:34,0.135s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-31 09:53:34,2021-03-31 09:53:35,1.227s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 09:53:35,2021-03-31 09:53:37,2.210s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-31 09:53:37,2021-03-31 09:53:38,0.942s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-31 09:53:38,2021-03-31 09:53:42,3.906s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-31 09:53:42,2021-03-31 09:53:42,0.255s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-31 09:53:42,2021-03-31 09:53:42,0.312s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-31 09:53:42,2021-03-31 09:53:44,1.233s,PASSED
