Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,,,,2021-03-30 09:16:38,2021-03-30 09:16:41,3.000s,FAILED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,,,,2021-03-30 09:16:39,2021-03-30 09:16:40,0.667s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:39,2021-03-30 09:16:39,0.002s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:39,2021-03-30 09:16:40,0.479s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyVideoCanPlay,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.157s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.015s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
,,,,,,,
Test Cases/UnlockComic/VerifyUnlockComic,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.156s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.015s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
,,,,,,,
Test Cases/Search/VerifySearchData,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.157s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
,,,,,,,
Test Cases/Search/VerifySearchSugguest,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.143s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.006s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
,,,,,,,
Test Cases/Clickable/VerifyClickingOnGenre,,,,2021-03-30 09:16:40,2021-03-30 09:16:41,0.141s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:40,2021-03-30 09:16:40,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.016s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
,,,,,,,
Test Cases/Clickable/VerifyRankingcheckOnComicPage,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.171s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.015s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
,,,,,,,
Test Cases/AddToMyList/VerifyClickOnAddToMyList,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.148s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.006s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
,,,,,,,
Test Cases/AddToMyList/VerifyMyListShowValidData,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.148s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.015s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
,,,,,,,
Test Cases/Component/VerifyAlbumDisplayed,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.141s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
,,,,,,,
Test Cases/Component/VerifyRecommandationDisplayed,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.141s,FAILED
Start listener action : sampleBeforeTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
openBrowser(SourceURL),,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.016s,FAILED
Start listener action : sampleAfterTestCase,,,,2021-03-30 09:16:41,2021-03-30 09:16:41,0.000s,PASSED
