Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.114,,,2021-03-31 14:45:56,2021-03-31 14:51:26,5m - 30.169s,ERROR
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.114,,,2021-03-31 14:45:56,2021-03-31 14:47:01,1m - 4.511s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.114,,,2021-03-31 14:45:57,2021-03-31 14:45:57,0.004s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.114,,,2021-03-31 14:45:57,2021-03-31 14:46:00,3.037s,PASSED
maximizeWindow(),Chrome 89.0.4389.114,,,2021-03-31 14:46:00,2021-03-31 14:46:00,0.121s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.114,,,2021-03-31 14:46:00,2021-03-31 14:46:02,2.316s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.114,,,2021-03-31 14:46:02,2021-03-31 14:46:03,1.397s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.114,,,2021-03-31 14:46:03,2021-03-31 14:46:04,0.920s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.114,,,2021-03-31 14:46:04,2021-03-31 14:46:09,4.821s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.114,,,2021-03-31 14:46:09,2021-03-31 14:46:09,0.252s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.114,,,2021-03-31 14:46:09,2021-03-31 14:46:10,0.292s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.114,,,2021-03-31 14:46:10,2021-03-31 14:46:11,1.170s,PASSED
